distribution,alpha,kmax,R0_target,R0_measured,beta_ma,beta_cm,final_EBMA,peak_EBMA,tpeak_EBMA,final_Static,peak_Static,tpeak_Static
"Power law α=2.0, kmax=30",2.0,30,1.25,1.25,0.16645779712168285,0.23766920253848495,0.07007621796560774,0.003918356696050951,39.30098252456312,0.07370772880972312,0.005094074371689621,32.630815770394264
"Power law α=2.0, kmax=30",2.0,30,1.26,1.26,0.1677894594986563,0.24002693223536997,0.07254860400637066,0.004199929315859913,38.0809520238006,0.0763104447465737,0.005468831577910317,31.560789019725497
"Power law α=2.0, kmax=30",2.0,30,1.27,1.2700000000000002,0.1691211218756298,0.24239366191233414,0.07500063423792244,0.004488653852862665,36.94092352308808,0.07889216249638371,0.0058540249550116386,30.56076401910048
"Power law α=2.0, kmax=30",2.0,30,1.28,1.28,0.17045278425260324,0.24476944320031757,0.07743275280750228,0.004784315393987076,35.880897022425565,0.08145336330409567,0.006249405110138925,29.620740518512964
"Power law α=2.0, kmax=30",2.0,30,1.29,1.29,0.1717844466295767,0.24715432812594457,0.07984538408593732,0.005086701841531635,34.88087202180055,0.0839945135945681,0.006654732576821518,28.74071851796295
"Power law α=2.0, kmax=30",2.0,30,1.3,1.3,0.17311610900655017,0.24954836911532105,0.08223893430354164,0.005395611098905746,33.930848271206784,0.08651606552296273,0.007069768596776077,27.920698017450437
"Power law α=2.0, kmax=30",2.0,30,1.31,1.3100000000000003,0.17444777138352366,0.2519516189978765,0.08461380810159401,0.005710846414396065,33.05082627065677,0.08901845750329211,0.007494291296118401,27.130678266956675
"Power law α=2.0, kmax=30",2.0,30,1.32,1.32,0.1757794337604971,0.25436413101024974,0.0869703919967085,0.006032216429617453,32.21080527013176,0.0915021147155111,0.007928073887155246,26.400660016500414
"Power law α=2.0, kmax=30",2.0,30,1.33,1.33,0.17711109613747056,0.25678595880022026,0.08930906124031884,0.006359533898548285,31.410785269631745,0.09396744959173454,0.008370901577169909,25.700642516062903
"Power law α=2.0, kmax=30",2.0,30,1.34,1.34,0.17844275851444402,0.25921715643068444,0.09163018453641288,0.006692618790328682,30.66076651916298,0.09641486228225875,0.008822557407236802,25.040626015650393
"Power law α=2.0, kmax=30",2.0,30,1.35,1.3500000000000003,0.1797744208914175,0.26165777838367904,0.09393411043867858,0.007031291504933236,29.95074876871922,0.09884474110210908,0.009282846140968706,24.410610265256633
"Power law α=2.0, kmax=30",2.0,30,1.36,1.36,0.18110608326839095,0.2641078795644504,0.09622118609053382,0.0073753903062694845,29.27073176829421,0.10125746295885234,0.009751560934564127,23.810595264881623
"Power law α=2.0, kmax=30",2.0,30,1.37,1.37,0.1824377456453644,0.2665675153055722,0.09849174833688834,0.007724747921973474,28.620715517887948,0.10365339376248439,0.010228507549624295,23.240581014525365
"Power law α=2.0, kmax=30",2.0,30,1.38,1.38,0.18376940802233785,0.2690367413711107,0.10074611407337679,0.00807919816930587,28.00070001750044,0.1060328888180983,0.010713504645992133,22.700567514187856
"Power law α=2.0, kmax=30",2.0,30,1.39,1.3900000000000001,0.18510107039931134,0.27151561396083906,0.10298460608296324,0.008438594292302197,27.42068551713793,0.10839629320214467,0.011206355405320917,22.180554513862848
"Power law α=2.0, kmax=30",2.0,30,1.4,1.4,0.18643273277628478,0.27400418971450097,0.10520752726633746,0.008802782603718168,26.85067126678167,0.11074394212295342,0.011706900333406683,21.69054226355659
"Power law α=2.0, kmax=30",2.0,30,1.41,1.41,0.18776439515325824,0.27650252571612505,0.10741517940194621,0.009171620047316378,26.320658016450412,0.1130761612663036,0.01221494240655678,21.220530513262833
"Power law α=2.0, kmax=30",2.0,30,1.42,1.42,0.1890960575302317,0.27901067949838887,0.10960784279239918,0.009544959673224697,25.800645016125404,0.11539326712663783,0.012730329719022715,20.760519012975326
"Power law α=2.0, kmax=30",2.0,30,1.43,1.4300000000000002,0.1904277199072052,0.28152870904703614,0.11178580633638481,0.00992266714003883,25.310632765819147,0.11769556732465346,0.013252902862615996,20.33050826270657
"Power law α=2.0, kmax=30",2.0,30,1.44,1.44,0.19175938228417863,0.28405667280534463,0.1139493440274776,0.010304601504350856,24.84062101552539,0.11998336091183984,0.013782474677543503,19.910497762444063
"Power law α=2.0, kmax=30",2.0,30,1.45,1.45,0.1930910446611521,0.28659462967864846,0.11609871325405025,0.010690643387072117,24.380609515237882,0.1222569386626089,0.014318913290820134,19.510487762194057
"Power law α=2.0, kmax=30",2.0,30,1.46,1.46,0.19442270703812556,0.28914263903891263,0.11823418184162826,0.011080657626308672,23.950598764969126,0.12451658335456799,0.014862071068360183,19.13047826195655
"Power law α=2.0, kmax=30",2.0,30,1.47,1.4700000000000002,0.19575436941509905,0.2917007607293638,0.12035599989197847,0.011474529991449677,23.53058826470662,0.12676257003747496,0.015411780780919399,18.760469011725295
"Power law α=2.0, kmax=30",2.0,30,1.48,1.48,0.19708603179207249,0.29426905506917433,0.12246441013887538,0.011872140697318553,23.120578014450363,0.12899516629142127,0.015967896077660686,18.40046001150029
"Power law α=2.0, kmax=30",2.0,30,1.49,1.49,0.19841769416904595,0.2968475828582042,0.12455964745867196,0.012273367147122682,22.730568264206607,0.1312146324747177,0.016530312987487833,18.060451511287784
"Power law α=2.0, kmax=30",2.0,30,1.5,1.5,0.1997493565460194,0.29943640538179844,0.12664195280525314,0.012678106783157325,22.36055901397535,0.1334212219619653,0.017098860964026512,17.73044326108153
"Power law α=2.0, kmax=30",2.0,30,1.51,1.51,0.20108101892299288,0.3020355844156425,0.12871154787208805,0.01308623663527897,22.000550013750345,0.1356151813727356,0.017673418438632932,17.410435260881524
"Power law α=2.0, kmax=30",2.0,30,1.52,1.52,0.20241268129996637,0.30464518223067627,0.13076864528116336,0.013497668789353517,21.65054126353159,0.1377967507913394,0.018253850491216077,17.10042751068777
"Power law α=2.0, kmax=30",2.0,30,1.53,1.53,0.2037443436769398,0.3072652615980669,0.13281346539006791,0.013912296836962781,21.310532763319085,0.139966163978018,0.018840023812552044,16.800420010500265
"Power law α=2.0, kmax=30",2.0,30,1.54,1.54,0.20507600605391327,0.3098958857942421,0.13484622203694838,0.0143300068219325,20.98052451311283,0.1421236485720006,0.01943187717012014,16.52041301032526
"Power law α=2.0, kmax=30",2.0,30,1.55,1.55,0.20640766843088673,0.31253711860598377,0.13686711020965203,0.01475070906527285,20.670516762919075,0.14426942628676145,0.02002923625071877,16.240406010150256
"Power law α=2.0, kmax=30",2.0,30,1.56,1.56,0.20773933080786022,0.31518902433558416,0.13887632920141013,0.015174322117850553,20.36050901272532,0.14640371309783182,0.020631989791318736,15.970399259981502
"Power law α=2.0, kmax=30",2.0,30,1.57,1.5699999999999998,0.20907099318483366,0.3178516678060637,0.14087407416258663,0.015600720493809311,20.070501762544065,0.14852671942350076,0.021240027055035804,15.710392759818998
"Power law α=2.0, kmax=30",2.0,30,1.58,1.5799999999999998,0.21040265556180712,0.32052511436645337,0.14286053718130445,0.016029869843525293,19.78049451236281,0.15063865029871087,0.02185321402844384,15.460386509662744
"Power law α=2.0, kmax=30",2.0,30,1.59,1.59,0.21173431793878061,0.3232094298971404,0.1448358880764202,0.016461637609394272,19.500487512187807,0.15273970554245847,0.022471555579780547,15.210380259506488
"Power law α=2.0, kmax=30",2.0,30,1.6,1.6,0.21306598031575408,0.32590468081528035,0.14680031718558792,0.016895952329879338,19.230480762019052,0.15483007991896997,0.023094819221637614,14.970374259356484
"Power law α=2.0, kmax=30",2.0,30,1.61,1.61,0.21439764269272754,0.3286109340802749,0.14875399421001068,0.017332736610894142,18.97047426185655,0.1569099632929268,0.023722967504518425,14.74036850921273
"Power law α=2.0, kmax=30",2.0,30,1.62,1.62,0.215729305069701,0.33132825719931674,0.15069709100705492,0.017771890779458552,18.720468011700294,0.15897954077900764,0.02435586361725134,14.520363009075227
"Power law α=2.0, kmax=30",2.0,30,1.63,1.6299999999999997,0.2170609674466744,0.3340567182330029,0.15262977182811216,0.01821338877635033,18.47046176154404,0.16103899288596896,0.024993480795726636,14.300357508937724
"Power law α=2.0, kmax=30",2.0,30,1.64,1.64,0.2183926298236479,0.33679638580101784,0.15455220156632632,0.018657106754869424,18.230455761394037,0.16308849565551628,0.025635647901838046,14.09035225880647
"Power law α=2.0, kmax=30",2.0,30,1.65,1.6499999999999997,0.21972429220062134,0.339547329087885,0.15646453230208449,0.019102975064242467,18.000450011250283,0.1651282207961874,0.026282342397464104,13.880347008675217
"Power law α=2.0, kmax=30",2.0,30,1.66,1.66,0.22105595457759483,0.3423096178487912,0.15836691249319257,0.019550959276093002,17.77044426110653,0.16715833581243156,0.026933433773983884,13.680342008550214
"Power law α=2.0, kmax=30",2.0,30,1.67,1.67,0.2223876169545683,0.34508332241548295,0.16025950424662017,0.020000954066608553,17.550438760969026,0.16917900412912118,0.027588811905476615,13.490337258431461
"Power law α=2.0, kmax=30",2.0,30,1.68,1.6800000000000002,0.2237192793315418,0.347868513702235,0.1621424506781702,0.02045287497252052,17.340433510837773,0.17119038521166824,0.028248472287597803,13.300332508312708
"Power law α=2.0, kmax=30",2.0,30,1.69,1.69,0.22505094170851522,0.3506652632118943,0.16401590142787711,0.02090672697346417,17.13042826070652,0.1731926346819165,0.028912314037111073,13.110327758193955
"Power law α=2.0, kmax=30",2.0,30,1.7,1.7,0.2263826040854887,0.3534736430419989,0.16587996910961117,0.02136240157011407,16.920423010575266,0.17518590443000792,0.02958021295574223,12.930323258081453
"Power law α=2.0, kmax=30",2.0,30,1.71,1.71,0.22771426646246215,0.3562937258909736,0.16773481580230928,0.021819815117484043,16.720418010450263,0.17717034272237173,0.030252084748132443,12.7603190079752
"Power law α=2.0, kmax=30",2.0,30,1.72,1.7200000000000002,0.22904592883943564,0.3591255850644025,0.1695805693678805,0.022278980738459284,16.53041326033151,0.17914609430599301,0.03092788955087955,12.590314757868947
"Power law α=2.0, kmax=30",2.0,30,1.73,1.73,0.23037759121640908,0.36196929448138143,0.1714173553408713,0.022739755010527343,16.340408510212757,0.1811133005091255,0.031607656608554344,12.420310507762695
"Power law α=2.0, kmax=30",2.0,30,1.74,1.74,0.23170925359338254,0.36482492868094935,0.1732453074748468,0.023202139811935266,16.160404010100255,0.1830720993385712,0.032291081933847054,12.260306507662692
"Power law α=2.0, kmax=30",2.0,30,1.75,1.75,0.233040915970356,0.36769256282860113,0.17506453817391446,0.02366604987738752,15.980399509987752,0.18502262557367902,0.03297832138406112,12.10030250756269
"Power law α=2.0, kmax=30",2.0,30,1.76,1.76,0.23437257834732947,0.3705722727228829,0.17687517488104693,0.02413140335137015,15.800395009875249,0.1869650108571913,0.03366920667389309,11.940298507462687
"Power law α=2.0, kmax=30",2.0,30,1.77,1.7700000000000002,0.23570424072430296,0.3734641348020701,0.17867733796707908,0.024598233802977237,15.630390759768996,0.18889938378305274,0.03436367301614662,11.790294757368935
"Power law α=2.0, kmax=30",2.0,30,1.78,1.78,0.2370359031012764,0.3763682261509318,0.18047114079433751,0.02506642989936715,15.470386759668994,0.19082586998131307,0.03506162337680162,11.640291007275183
"Power law α=2.0, kmax=30",2.0,30,1.79,1.79,0.23836756547824986,0.3792846245075789,0.1822566924092623,0.02553595110708627,15.30038250956274,0.19274459220022525,0.03576307725586585,11.50028750718768
"Power law α=2.0, kmax=30",2.0,30,1.8,1.8,0.23969922785522332,0.382213408270401,0.18403411216426077,0.0260067434212006,15.140378509462737,0.19465567038566234,0.036467892168100854,11.360284007100178
"Power law α=2.0, kmax=30",2.0,30,1.81,1.8100000000000003,0.24103089023219681,0.38515465650509234,0.18580349708502114,0.02647880703926013,14.990374759368985,0.19655922175794127,0.03717613375975169,11.220280507012676
"Power law α=2.0, kmax=30",2.0,30,1.82,1.82,0.24236255260917025,0.38810844895176544,0.18756496183675983,0.026951999300589835,14.840371009275232,0.19845536088615925,0.03788756921797069,11.080277006925174
